Symbol,Direction,Price,Change%,Volume_Ratio,VWAP_Position,VWAP,Setup,RSI,Sector,Score,EMA20,EMA50,ATR%
ABCAPITAL,BULLISH,349.6,1.19,3.39,Above,345.57,Above VWAP | EMA Aligned | RSI Momentum,63.2,Financial Services,6,347.13,346.2,0.39
ADANIENT,BULLISH,2448.0,1.64,2.54,Above,2402.96,Gap Up | Above VWAP | EMA Aligned,69.1,Energy,7,2411.24,2397.61,0.86
AMBUJACEM,BEARISH,442.4,-0.41,2.05,Below,450.6,Volume Surge | Below VWAP | EMA Aligned,27.8,Basic Materials,6,443.97,444.45,0.41
AUBANK,BULLISH,1031.4,1.52,4.25,Above,1027.91,Gap Up | Above VWAP | EMA Aligned,72.3,Financial Services,6,1024.58,1021.84,0.36
AXISBANK,BULLISH,1289.3,1.66,2.21,Above,1280.78,Gap Up | Above VWAP | EMA Aligned,74.3,Financial Services,6,1278.39,1273.85,0.42
BAJAJFINSV,BULLISH,1773.7,1.52,2.12,Above,1766.05,Gap Up | Above VWAP | RSI Momentum,68.5,Financial Services,6,1756.45,1756.62,0.46
BEL,BEARISH,432.65,0.31,2.25,Below,433.91,EMA Aligned | Volume Surge | Below VWAP,41.9,Industrials,5,432.32,431.47,0.36
BIOCON,BULLISH,363.9,1.18,3.85,Above,361.98,Above VWAP | EMA Aligned | RSI Momentum,62.7,Healthcare,5,361.51,360.49,0.38
CANBK,BULLISH,137.3,1.97,2.91,Above,136.43,Gap Up | Above VWAP | EMA Aligned,82.0,Financial Services,5,135.82,135.11,0.39
CDSL,BEARISH,1251.7,-1.6,2.0,Below,1292.21,Volume Surge | Gap Down | EMA Aligned,30.4,Financial Services,6,1260.1,1269.86,0.6
CIPLA,BULLISH,1324.7,1.15,2.75,Above,1313.78,Above VWAP | EMA Aligned | RSI Momentum,68.9,Healthcare,5,1317.64,1315.8,0.29
COALINDIA,BULLISH,484.8,0.7,3.79,Above,476.39,Above VWAP | EMA Aligned | RSI Momentum,65.8,Energy,6,483.3,482.81,0.33
COFORGE,BEARISH,1188.3,-0.64,2.86,Below,1202.63,Volume Surge | Below VWAP | EMA Aligned,29.1,Technology,6,1193.5,1196.33,0.48
CONCOR,BULLISH,516.35,1.47,2.54,Above,511.84,Above VWAP | EMA Aligned | RSI Momentum,66.2,Industrials,5,512.58,511.16,0.38
DABUR,BULLISH,449.45,1.8,1.92,Above,449.18,Gap Up | Above VWAP | EMA Aligned,76.0,Consumer Defensive,5,445.21,444.62,0.32
DELHIVERY,BULLISH,470.6,0.76,2.18,Above,464.65,Above VWAP | EMA Aligned | RSI Momentum,63.5,Industrials,6,468.16,464.95,0.45
DRREDDY,BEARISH,1305.0,-1.35,3.9,Below,1340.18,Volume Surge | EMA Aligned | RSI Momentum,34.9,Healthcare,5,1310.92,1317.61,0.6
EXIDEIND,BULLISH,365.4,1.35,4.05,Above,361.1,Above VWAP | EMA Aligned | RSI Momentum,68.7,Consumer Cyclical,6,363.06,361.21,0.4
FEDERALBNK,BULLISH,289.5,0.89,1.93,Above,289.34,Above VWAP | EMA Aligned | RSI Momentum,73.5,Financial Services,5,287.96,286.65,0.41
GAIL,BULLISH,166.06,1.73,2.58,Above,165.03,Gap Up | Above VWAP | EMA Aligned,83.8,Utilities,5,164.47,163.61,0.35
GODFRYPHLP,BULLISH,2259.4,0.37,2.84,Above,2233.35,Above VWAP | EMA Aligned | Breakout,53.3,Consumer Defensive,5,2256.08,2253.15,0.42
GRASIM,BULLISH,2824.0,1.06,3.15,Above,2802.0,Above VWAP | EMA Aligned | RSI Momentum,69.1,Basic Materials,5,2807.71,2793.15,0.34
HCLTECH,BEARISH,1200.7,0.13,3.08,Below,1201.87,Volume Surge | Below VWAP | EMA Aligned,40.8,Technology,5,1201.97,1202.72,0.34
HDFCBANK,BULLISH,784.15,1.61,2.4,Above,778.96,Gap Up | Above VWAP | EMA Aligned,73.1,Financial Services,6,778.93,775.92,0.35
HDFCLIFE,BULLISH,594.75,1.34,3.01,Above,592.55,Above VWAP | EMA Aligned | RSI Momentum,73.6,Financial Services,5,590.89,588.44,0.3
ICICIPRULI,BULLISH,520.6,1.31,2.78,Above,518.64,Above VWAP | EMA Aligned | RSI Momentum,66.9,Financial Services,5,517.46,517.05,0.32
IDFCFIRSTB,BULLISH,70.26,0.89,2.85,Above,69.72,Above VWAP | EMA Aligned | RSI Momentum,58.9,Financial Services,6,70.01,69.81,0.32
IEX,BULLISH,126.18,0.79,4.22,Above,126.02,Above VWAP | EMA Aligned | RSI Momentum,66.3,Financial Services,5,125.77,125.46,0.32
INDIANB,BEARISH,847.2,-0.55,1.76,Below,866.77,Volume Surge | EMA Aligned | RSI Momentum,26.2,Financial Services,5,850.15,850.44,0.46
INDUSTOWER,BEARISH,402.35,-1.85,3.24,Below,413.86,Volume Surge | Gap Down | EMA Aligned,29.8,Communication Services,6,406.16,408.35,0.65
INFY,BULLISH,1187.0,0.44,2.76,Above,1168.51,Above VWAP | EMA Aligned | RSI Momentum,62.9,Technology,6,1185.55,1182.61,0.27
ITC,BULLISH,316.9,0.64,3.31,Above,312.47,Above VWAP | EMA Aligned | RSI Momentum,63.4,Consumer Defensive,6,315.47,315.4,0.31
KPITTECH,BULLISH,772.95,1.83,2.14,Above,748.74,Gap Up | EMA Aligned | RSI Momentum,68.1,Technology,6,763.19,757.96,0.56
LICHSGFIN,BULLISH,560.4,1.03,3.08,Above,556.73,Above VWAP | EMA Aligned | RSI Momentum,69.0,Financial Services,6,557.59,556.14,0.28
LODHA,BULLISH,911.8,1.55,3.47,Above,898.88,Gap Up | Above VWAP | EMA Aligned,59.0,Real Estate,7,904.98,903.56,0.53
MCX,BULLISH,3015.9,1.49,2.7,Above,2939.68,EMA Aligned | RSI Momentum | Breakout,67.7,Financial Services,5,2997.16,2978.97,0.42
NESTLEIND,BULLISH,1462.2,0.25,3.54,Above,1448.1,Above VWAP | EMA Aligned | RSI Momentum,69.1,Consumer Defensive,6,1459.11,1456.52,0.35
NMDC,BEARISH,90.06,-0.34,3.34,Below,91.05,Volume Surge | Below VWAP | EMA Aligned,36.4,Basic Materials,6,90.33,90.41,0.4
PATANJALI,BULLISH,464.85,1.18,2.06,Above,462.19,Above VWAP | EMA Aligned | RSI Momentum,73.8,Consumer Defensive,5,461.7,460.09,0.24
PAYTM,BULLISH,1115.4,1.79,2.87,Below,1116.5,Gap Up | EMA Aligned | RSI Momentum,63.7,Technology,5,1105.78,1101.5,0.44
PETRONET,BULLISH,280.45,1.33,2.57,Above,278.29,Above VWAP | EMA Aligned | RSI Momentum,74.7,Energy,5,278.7,277.55,0.37
PGEL,BEARISH,533.25,-0.14,1.97,Below,542.0,EMA Aligned | Volume Surge | Below VWAP,41.1,Technology,5,532.85,531.64,0.41
PNBHOUSING,BULLISH,1052.8,0.68,2.51,Above,1047.5,Above VWAP | EMA Aligned | RSI Momentum,57.5,Financial Services,6,1047.25,1043.83,0.43
RBLBANK,BULLISH,343.0,1.92,4.59,Above,333.99,Gap Up | EMA Aligned | RSI Momentum,73.3,Financial Services,6,339.57,338.14,0.45
RELIANCE,BULLISH,1443.2,0.87,3.08,Above,1403.54,EMA Aligned | RSI Momentum | Breakout,72.8,Energy,5,1436.49,1427.99,0.28
SAIL,BULLISH,186.23,0.87,2.56,Above,184.79,Above VWAP | EMA Aligned | RSI Momentum,59.9,Basic Materials,5,185.2,184.46,0.46
SBILIFE,BULLISH,1842.8,1.31,2.57,Above,1815.24,Above VWAP | EMA Aligned | Breakout,82.5,Financial Services,5,1828.21,1818.13,0.27
SUZLON,BEARISH,54.62,-1.73,3.09,Below,56.71,Volume Surge | Gap Down | EMA Aligned,24.7,Industrials,5,55.15,55.4,0.58
TATACONSUM,BULLISH,1162.6,1.57,2.81,Above,1154.16,Gap Up | Above VWAP | EMA Aligned,67.9,Consumer Defensive,7,1156.28,1152.07,0.42
TCS,BEARISH,2461.7,-0.49,2.85,Below,2464.25,Volume Surge | Below VWAP | EMA Aligned,36.8,Technology,5,2467.85,2469.33,0.39
TECHM,BULLISH,1481.0,0.51,2.75,Above,1447.22,EMA Aligned | RSI Momentum | Breakout,58.3,Technology,5,1477.8,1473.38,0.31
UPL,BULLISH,649.4,1.18,2.92,Above,642.95,Above VWAP | EMA Aligned | RSI Momentum,62.4,Basic Materials,6,647.22,643.26,0.34
VBL,BEARISH,510.65,-0.59,3.67,Below,521.19,Volume Surge | EMA Aligned | RSI Momentum,36.2,Consumer Defensive,5,514.25,514.32,0.45
VOLTAS,BEARISH,1423.7,-0.47,2.5,Below,1473.96,Volume Surge | EMA Aligned | RSI Momentum,34.5,Consumer Cyclical,5,1425.21,1428.84,0.44
YESBANK,BULLISH,20.12,0.95,3.27,Below,20.13,EMA Aligned | RSI Momentum | Breakout,64.3,Financial Services,5,20.05,20.02,0.28
