Symbol,Direction,Price,Change%,Volume_Ratio,VWAP_Position,VWAP,Setup,RSI,Sector,Score,EMA20,EMA50,ATR%
AMBUJACEM,BULLISH,450.45,1.41,2.0,Above,450.15,Above VWAP | EMA Aligned | RSI Momentum,66.6,Basic Materials,5,447.32,445.86,0.48
ASHOKLEY,BEARISH,162.4,0.19,2.82,Below,165.14,Volume Surge | Below VWAP | RSI Momentum,45.0,Industrials,5,162.42,162.33,0.31
AUBANK,BULLISH,1030.9,1.47,5.45,Above,1027.93,Above VWAP | EMA Aligned | RSI Momentum,56.7,Financial Services,5,1028.65,1025.77,0.22
BAJAJFINSV,BULLISH,1775.6,1.63,2.29,Above,1766.29,Gap Up | Above VWAP | EMA Aligned,65.4,Financial Services,6,1768.15,1763.75,0.24
BANKINDIA,BEARISH,140.93,0.76,3.47,Below,143.05,Volume Surge | Below VWAP | RSI Momentum,38.4,Financial Services,5,141.3,141.01,0.22
BDL,BULLISH,1388.4,1.78,2.6,Above,1384.51,Gap Up | Above VWAP | EMA Aligned,61.7,Industrials,6,1380.97,1374.27,0.28
BIOCON,BULLISH,365.85,1.72,4.07,Above,362.15,Gap Up | Above VWAP | EMA Aligned,58.9,Healthcare,7,364.51,362.81,0.23
BPCL,BULLISH,305.9,1.81,3.88,Above,304.85,Gap Up | Above VWAP | EMA Aligned,79.1,Energy,5,303.33,302.33,0.24
CAMS,BEARISH,742.35,0.51,2.29,Below,747.78,Volume Surge | Below VWAP | RSI Momentum,40.2,Technology,5,742.39,741.94,0.23
CGPOWER,BEARISH,819.0,0.69,2.67,Below,822.81,EMA Aligned | Volume Surge | Below VWAP,42.2,Industrials,5,818.51,817.63,0.29
CIPLA,BULLISH,1330.6,1.6,3.31,Above,1314.3,Gap Up | Above VWAP | EMA Aligned,65.4,Healthcare,7,1325.47,1321.34,0.2
CONCOR,BULLISH,518.0,1.8,2.92,Above,511.98,Gap Up | Above VWAP | EMA Aligned,64.0,Industrials,6,515.87,513.86,0.26
CROMPTON,BULLISH,274.7,0.86,6.12,Above,272.31,Above VWAP | EMA Aligned | Breakout,76.7,Consumer Cyclical,5,272.61,271.92,0.26
GRASIM,BULLISH,2849.9,1.98,3.55,Above,2803.9,Gap Up | Above VWAP | EMA Aligned,71.0,Basic Materials,6,2836.5,2818.07,0.22
HDFCBANK,BULLISH,783.5,1.53,2.69,Above,779.17,Gap Up | Above VWAP | EMA Aligned,68.4,Financial Services,5,782.67,779.67,0.21
