Symbol,Direction,Price,Change%,Volume_Ratio,VWAP_Position,VWAP,Setup,RSI,Sector,Score,EMA20,EMA50,ATR%
AUBANK,BULLISH,1033.5,1.73,5.72,Above,1027.97,Gap Up | Above VWAP | EMA Aligned,71.4,Financial Services,6,1030.81,1027.5,0.18
AXISBANK,BEARISH,1274.9,0.52,2.44,Below,1280.66,Volume Surge | Below VWAP | RSI Momentum,43.5,Financial Services,5,1278.07,1276.81,0.2
BANKINDIA,BEARISH,140.59,0.51,3.66,Below,142.99,Volume Surge | Below VWAP | RSI Momentum,34.7,Financial Services,5,141.05,140.96,0.2
BDL,BULLISH,1385.2,1.55,2.77,Above,1384.54,Gap Up | Above VWAP | EMA Aligned,56.4,Industrials,5,1383.65,1377.24,0.28
BIOCON,BULLISH,365.75,1.7,4.41,Above,362.2,Gap Up | Above VWAP | EMA Aligned,56.5,Healthcare,6,365.19,363.55,0.16
BPCL,BULLISH,305.0,1.51,4.22,Above,304.86,Gap Up | Above VWAP | EMA Aligned,72.1,Energy,6,304.21,303.0,0.23
CAMS,BEARISH,734.6,-0.54,2.64,Below,747.6,Volume Surge | Below VWAP | EMA Aligned,18.8,Technology,5,740.0,740.95,0.24
CGPOWER,BULLISH,824.75,1.4,2.81,Above,822.83,Above VWAP | EMA Aligned | RSI Momentum,63.5,Industrials,5,820.57,818.79,0.31
CIPLA,BULLISH,1333.4,1.82,3.94,Above,1314.57,Gap Up | Above VWAP | EMA Aligned,71.7,Healthcare,7,1326.85,1322.94,0.18
COCHINSHIP,BULLISH,1734.1,0.04,5.71,Below,1736.84,EMA Aligned | RSI Momentum | Breakout,67.7,Industrials,5,1729.52,1725.68,0.3
CONCOR,BULLISH,518.65,1.93,3.17,Above,512.1,Gap Up | Above VWAP | EMA Aligned,77.5,Industrials,5,517.35,515.06,0.25
CROMPTON,BULLISH,276.3,1.45,5.99,Above,272.38,Above VWAP | EMA Aligned | Breakout,78.2,Consumer Cyclical,5,274.28,272.89,0.33
DELHIVERY,BULLISH,469.0,0.42,2.98,Above,464.93,Above VWAP | EMA Aligned | RSI Momentum,58.1,Industrials,5,468.94,467.59,0.23
HDFCAMC,BEARISH,2749.3,1.35,3.17,Below,2756.28,Volume Surge | Below VWAP | RSI Momentum,43.7,Financial Services,5,2751.16,2746.87,0.21
