Symbol,Direction,Price,Change%,Volume_Ratio,VWAP_Position,VWAP,Setup,RSI,Sector,Score,EMA20,EMA50,ATR%
ANGELONE,BEARISH,308.7,-0.0,3.19,Below,313.69,Volume Surge | Below VWAP | RSI Momentum,43.3,Financial Services,5,310.25,309.75,0.34
ASHOKLEY,BEARISH,161.12,-0.6,2.99,Below,165.06,Volume Surge | EMA Aligned | RSI Momentum,37.0,Industrials,5,162.2,162.27,0.3
AXISBANK,BEARISH,1270.0,0.13,2.63,Below,1280.61,Volume Surge | Below VWAP | RSI Momentum,33.5,Financial Services,5,1276.48,1276.27,0.2
BAJAJFINSV,BULLISH,1774.4,1.56,2.63,Above,1767.0,Gap Up | Above VWAP | RSI Momentum,62.3,Financial Services,5,1775.67,1769.22,0.27
BANKINDIA,BEARISH,139.85,-0.01,3.58,Below,142.9,Volume Surge | EMA Aligned | RSI Momentum,25.3,Financial Services,5,140.73,140.83,0.23
BDL,BEARISH,1372.8,0.64,2.79,Below,1384.45,Volume Surge | Below VWAP | RSI Momentum,33.1,Industrials,5,1380.95,1376.79,0.31
BEL,BEARISH,433.6,0.53,2.78,Below,434.14,Volume Surge | Below VWAP | RSI Momentum,41.2,Industrials,5,435.27,434.43,0.25
BIOCON,BULLISH,365.5,1.63,4.45,Above,362.26,Gap Up | Above VWAP | EMA Aligned,53.4,Healthcare,5,365.24,363.76,0.18
BPCL,BULLISH,305.0,1.51,4.17,Above,304.85,Gap Up | Above VWAP | EMA Aligned,61.0,Energy,5,304.36,303.2,0.23
CANBK,BEARISH,136.19,1.14,3.76,Below,136.45,Volume Surge | Below VWAP | RSI Momentum,30.4,Financial Services,5,136.72,136.32,0.17
CIPLA,BULLISH,1334.0,1.86,3.93,Above,1315.19,Gap Up | Above VWAP | EMA Aligned,63.7,Healthcare,7,1328.8,1324.24,0.23
CROMPTON,BULLISH,275.6,1.19,6.12,Above,272.4,Above VWAP | EMA Aligned | RSI Momentum,66.5,Consumer Cyclical,6,274.51,273.14,0.35
DABUR,BEARISH,448.35,1.55,2.67,Below,449.21,Gap Up | Volume Surge | Below VWAP,36.7,Consumer Defensive,5,449.47,448.15,0.19
DRREDDY,BEARISH,1302.3,-1.56,6.08,Below,1338.06,Volume Surge | Gap Down | EMA Aligned,39.2,Healthcare,5,1304.58,1308.14,0.17
FEDERALBNK,BEARISH,288.45,0.52,4.11,Below,289.35,Volume Surge | Below VWAP | RSI Momentum,31.7,Financial Services,5,289.16,288.58,0.22
