Symbol,Direction,Price,Change%,Volume_Ratio,VWAP_Position,VWAP,Setup,RSI,Sector,Score,EMA20,EMA50,ATR%
ANGELONE,BEARISH,307.25,-0.47,3.26,Below,313.6,Volume Surge | EMA Aligned | RSI Momentum,26.1,Financial Services,5,309.21,309.39,0.34
ASHOKLEY,BEARISH,160.53,-0.96,2.99,Below,164.96,Volume Surge | EMA Aligned | RSI Momentum,26.5,Industrials,5,161.39,161.86,0.27
AUBANK,BEARISH,1019.0,0.3,5.83,Below,1027.89,Volume Surge | Below VWAP | EMA Aligned,21.0,Financial Services,5,1026.19,1026.47,0.24
AXISBANK,BEARISH,1269.1,0.06,2.83,Below,1280.4,Volume Surge | Below VWAP | EMA Aligned,26.8,Financial Services,6,1272.51,1274.41,0.22
BANKINDIA,BEARISH,139.19,-0.49,3.69,Below,142.85,Volume Surge | EMA Aligned | RSI Momentum,26.7,Financial Services,5,140.11,140.52,0.25
BDL,BEARISH,1366.9,0.21,2.87,Below,1384.24,Volume Surge | Below VWAP | EMA Aligned,19.9,Industrials,5,1374.14,1374.57,0.29
BEL,BEARISH,434.05,0.64,3.0,Below,434.12,Volume Surge | Below VWAP | RSI Momentum,37.4,Industrials,5,434.28,434.15,0.26
BIOCON,BULLISH,365.4,1.6,4.43,Above,362.31,Gap Up | Above VWAP | EMA Aligned,48.0,Healthcare,5,365.26,364.13,0.21
BPCL,BEARISH,303.05,0.87,4.17,Below,304.84,Volume Surge | Below VWAP | RSI Momentum,34.8,Energy,5,304.09,303.37,0.27
CGPOWER,BEARISH,816.25,0.36,2.99,Below,822.7,Volume Surge | Below VWAP | RSI Momentum,41.9,Industrials,5,818.92,818.58,0.36
CIPLA,BULLISH,1329.9,1.55,3.89,Above,1315.66,Gap Up | Above VWAP | EMA Aligned,56.4,Healthcare,6,1329.21,1325.57,0.25
DABUR,BEARISH,446.95,1.23,2.96,Below,449.19,Volume Surge | Below VWAP | RSI Momentum,25.4,Consumer Defensive,5,448.49,448.02,0.2
FEDERALBNK,BEARISH,287.85,0.31,4.33,Below,289.34,Volume Surge | Below VWAP | RSI Momentum,33.3,Financial Services,5,288.73,288.51,0.21
GODREJCP,BEARISH,1076.0,0.83,2.41,Below,1080.87,Volume Surge | Below VWAP | RSI Momentum,29.3,Consumer Defensive,5,1081.74,1080.57,0.28
HCLTECH,BEARISH,1197.2,-0.16,3.94,Below,1201.63,Volume Surge | Below VWAP | EMA Aligned,40.7,Technology,6,1198.42,1199.48,0.14
HDFCAMC,BEARISH,2739.3,0.98,3.39,Below,2755.89,Volume Surge | Below VWAP | EMA Aligned,35.9,Financial Services,6,2744.36,2744.75,0.19
HDFCBANK,BEARISH,777.4,0.74,3.12,Below,779.25,Volume Surge | Below VWAP | RSI Momentum,25.0,Financial Services,5,780.54,780.21,0.2
HDFCLIFE,BEARISH,585.95,-0.16,3.94,Below,592.37,Volume Surge | Below VWAP | EMA Aligned,30.9,Financial Services,6,589.1,589.57,0.22
HINDALCO,BEARISH,1042.7,0.45,4.25,Below,1060.78,Volume Surge | Below VWAP | EMA Aligned,37.5,Basic Materials,6,1043.14,1043.61,0.18
HINDZINC,BEARISH,603.85,1.33,4.44,Below,609.59,Volume Surge | Below VWAP | RSI Momentum,36.8,Basic Materials,5,605.39,604.57,0.22
INDHOTEL,BEARISH,639.65,0.6,4.28,Below,644.86,Volume Surge | Below VWAP | RSI Momentum,28.4,Consumer Cyclical,5,641.78,641.51,0.24
INDIGO,BEARISH,4285.9,-0.22,3.75,Below,4352.39,Volume Surge | Below VWAP | EMA Aligned,26.3,Industrials,6,4301.01,4306.97,0.24
IREDA,BEARISH,135.12,0.01,4.42,Below,137.13,Volume Surge | Below VWAP | EMA Aligned,16.2,Financial Services,5,135.82,135.86,0.24
IRFC,BEARISH,104.1,-0.11,4.13,Below,105.12,Volume Surge | Below VWAP | EMA Aligned,14.4,Financial Services,5,104.7,104.81,0.23
ITC,BEARISH,311.7,-1.02,4.18,Below,312.65,Breakout | Volume Surge | Below VWAP,36.7,Consumer Defensive,5,312.75,313.81,0.21
LICI,BEARISH,798.75,0.11,4.09,Below,811.23,Volume Surge | Below VWAP | EMA Aligned,27.9,Financial Services,6,800.49,801.04,0.12
LUPIN,BULLISH,2347.5,1.83,2.89,Above,2311.64,Gap Up | Above VWAP | EMA Aligned,50.7,Healthcare,5,2346.29,2337.12,0.19
M&M,BEARISH,3110.4,0.42,3.7,Below,3122.57,Volume Surge | Below VWAP | EMA Aligned,34.6,Consumer Cyclical,5,3119.69,3120.43,0.29
