Symbol,Direction,Price,Change%,Volume_Ratio,VWAP_Position,VWAP,Setup,RSI,Sector,Score,EMA20,EMA50,ATR%
AMBUJACEM,BEARISH,446.35,0.48,1.71,Below,449.52,Volume Surge | Below VWAP | EMA Aligned,49.3,Basic Materials,6,446.64,447.45,1.16
AUBANK,BEARISH,1015.3,-0.06,6.0,Below,1027.38,Volume Surge | Below VWAP | EMA Aligned,21.1,Financial Services,5,1018.02,1021.15,0.21
BAJAJFINSV,BULLISH,1770.3,1.32,2.82,Above,1766.72,Above VWAP | EMA Aligned | RSI Momentum,63.2,Financial Services,5,1767.15,1766.5,0.24
BANKBARODA,BEARISH,264.8,0.51,4.01,Below,266.85,Volume Surge | Below VWAP | EMA Aligned,31.9,Financial Services,6,265.69,266.42,0.17
BIOCON,BEARISH,360.3,0.18,4.13,Below,362.3,Volume Surge | Below VWAP | EMA Aligned,26.6,Healthcare,6,362.15,363.03,0.23
BSE,BULLISH,3708.0,1.85,3.39,Above,3648.22,Gap Up | Above VWAP | EMA Aligned,61.8,Financial Services,7,3707.54,3704.93,0.15
CANBK,BEARISH,134.51,-0.1,4.76,Below,136.36,Volume Surge | Below VWAP | EMA Aligned,37.7,Financial Services,5,134.86,135.31,0.16
CIPLA,BULLISH,1335.7,1.99,3.95,Above,1316.48,Gap Up | Above VWAP | EMA Aligned,75.8,Healthcare,6,1331.06,1328.61,0.16
CROMPTON,BULLISH,276.55,1.54,6.82,Above,272.54,Gap Up | Above VWAP | EMA Aligned,60.3,Consumer Cyclical,7,275.97,274.97,0.32
DABUR,BEARISH,444.65,0.71,3.48,Below,449.0,Volume Surge | Below VWAP | EMA Aligned,39.0,Consumer Defensive,5,445.24,446.2,0.19
EXIDEIND,BEARISH,354.0,-1.82,2.4,Below,363.99,Volume Surge | Gap Down | EMA Aligned,18.6,Consumer Cyclical,5,361.39,365.69,1.18
GAIL,BEARISH,164.55,0.81,3.26,Below,165.24,Volume Surge | Below VWAP | EMA Aligned,41.5,Utilities,5,164.78,165.08,0.15
HDFCBANK,BEARISH,774.75,0.4,3.55,Below,779.05,Volume Surge | Below VWAP | EMA Aligned,39.1,Financial Services,5,776.0,777.33,0.17
HINDZINC,BEARISH,602.3,1.07,4.84,Below,609.33,Volume Surge | Below VWAP | EMA Aligned,41.2,Basic Materials,6,603.58,603.86,0.18
ICICIBANK,BEARISH,1270.6,0.57,3.31,Below,1281.67,Volume Surge | Below VWAP | EMA Aligned,42.6,Financial Services,6,1271.62,1272.05,0.15
INFY,BULLISH,1169.3,-1.06,3.96,Above,1169.21,Above VWAP | RSI Momentum | Breakout,60.2,Technology,5,1169.69,1172.06,0.14
INOXWIND,BULLISH,102.6,1.63,2.1,Above,100.87,Gap Up | Above VWAP | EMA Aligned,67.9,Industrials,6,101.97,101.54,0.42
IOC,BEARISH,142.2,-0.04,3.58,Below,143.98,Volume Surge | Below VWAP | EMA Aligned,43.7,Energy,6,142.49,142.7,0.14
KPITTECH,BULLISH,768.4,1.23,2.65,Above,753.28,EMA Aligned | RSI Momentum | Breakout,65.9,Technology,5,767.35,766.93,0.25
LUPIN,BULLISH,2348.3,1.87,2.75,Above,2315.13,Gap Up | Above VWAP | EMA Aligned,66.7,Healthcare,7,2345.12,2341.48,0.19
MARICO,BULLISH,784.15,1.18,2.9,Above,779.13,Above VWAP | EMA Aligned | RSI Momentum,55.0,Consumer Defensive,5,783.34,782.74,0.17
MAXHEALTH,BULLISH,1012.65,1.97,2.79,Above,1007.62,Gap Up | Above VWAP | EMA Aligned,55.2,Healthcare,6,1012.18,1011.19,0.22
PAYTM,BEARISH,1106.3,0.96,5.05,Below,1116.18,Volume Surge | Below VWAP | EMA Aligned,49.6,Technology,5,1108.24,1108.79,0.2
PFC,BEARISH,449.25,0.19,4.85,Below,463.96,Volume Surge | EMA Aligned | RSI Momentum,37.3,Financial Services,5,450.46,451.47,0.21
PIDILITIND,BEARISH,1364.2,-0.84,2.15,Below,1379.52,Volume Surge | Below VWAP | EMA Aligned,31.5,Basic Materials,5,1366.16,1370.29,0.14
PREMIERENE,BULLISH,1035.1,1.66,3.84,Above,1026.95,Gap Up | Above VWAP | EMA Aligned,62.4,Technology,6,1034.62,1032.32,0.2
SAIL,BULLISH,186.7,1.13,4.42,Above,184.96,Above VWAP | EMA Aligned | RSI Momentum,61.4,Basic Materials,5,186.56,186.08,0.27
SBIN,BEARISH,1069.4,0.09,3.41,Below,1084.06,Volume Surge | Below VWAP | EMA Aligned,44.9,Financial Services,5,1071.17,1073.34,0.2
SUNPHARMA,BULLISH,1822.8,0.8,6.92,Above,1763.83,EMA Aligned | RSI Momentum | Breakout,74.4,Healthcare,5,1820.5,1818.63,0.1
TCS,BEARISH,2431.6,-1.71,3.88,Below,2461.04,RSI Momentum | Volume Surge | Gap Down,58.2,Technology,5,2433.3,2437.27,0.14
UNIONBANK,BEARISH,163.44,-1.51,5.93,Below,168.55,Volume Surge | Gap Down | EMA Aligned,29.8,Financial Services,6,164.2,164.92,0.2
